"plant","parameter","original_value","optimized_value","is_optimized"
"soybeanAssoTardif_plt.xml","innsen","0.8","0.8",FALSE
"soybeanAssoTardif_plt.xml","rsmin","250","271.252917135718",TRUE
"soybeanAssoTardif_plt.xml","efcroijuv","2.5","2.38814524862595",TRUE
"soybeanAssoTardif_plt.xml","efcroiveg","3.7","4.42473668890761",TRUE
"soybeanAssoTardif_plt.xml","efcroirepro","3.5","3.76277488795906",TRUE
"soybeanAssoTardif_plt.xml","cgrain","0.035","0.035",FALSE
"soybeanAssoTardif_plt.xml","nbgrmin","0","0",FALSE
"soybeanAssoTardif_plt.xml","vitircarbT","0.00123","0.00104163586132095",TRUE
"soybeanAssoTardif_plt.xml","vitirazo","0.029","0.029",FALSE
"sunflowerPrecoceAsso_plt.xml","stlevamf","300","300",FALSE
"sunflowerPrecoceAsso_plt.xml","stlevdrp","1080","1076.79535300537",TRUE
"sunflowerPrecoceAsso_plt.xml","stamflax","490","541.096913122705",TRUE
"sunflowerPrecoceAsso_plt.xml","stdrpmat","650","620.71018245936",TRUE
"sunflowerPrecoceAsso_plt.xml","stdrpdes","400","400",FALSE
"sunflowerPrecoceAsso_plt.xml","dlaimaxbrut","0.0012","0.002",TRUE
"sunflowerPrecoceAsso_plt.xml","vlaimax","1.5","1.62938756387313",TRUE
"sunflowerPrecoceAsso_plt.xml","pentlaimax","3.5","1.69709250552307",TRUE
"sunflowerPrecoceAsso_plt.xml","durvieF","300","314.190639296014",TRUE
"sunflowerPrecoceAsso_plt.xml","extin","0.9","1.10816794782877",TRUE
"sunflowerPrecoceAsso_plt.xml","fixmaxveg","30","30",FALSE
"sunflowerPrecoceAsso_plt.xml","fixmaxgr","9.5","9.5",FALSE
"sunflowerPrecoceAsso_plt.xml","Vmax2","0.018","0.018",FALSE
"sunflowerPrecoceAsso_plt.xml","inngrain2","1","1",FALSE
"sunflowerPrecoceAsso_plt.xml","innturgmin","-0.75","-0.142803438007585",TRUE
"sunflowerPrecoceAsso_plt.xml","innsen","0.3","0.777311166472597",TRUE
"sunflowerPrecoceAsso_plt.xml","rsmin","150","185.616102828376",TRUE
"sunflowerPrecoceAsso_plt.xml","efcroijuv","3.3","4.08992096780975",TRUE
"sunflowerPrecoceAsso_plt.xml","efcroiveg","3.9","3.93192408371568",TRUE
"sunflowerPrecoceAsso_plt.xml","efcroirepro","2.4","3.74094199893845",TRUE
"sunflowerPrecoceAsso_plt.xml","cgrain","0.037","0.037",FALSE
"sunflowerPrecoceAsso_plt.xml","nbgrmin","1500","1500",FALSE
"sunflowerPrecoceAsso_plt.xml","vitircarbT","0.00041","5e-04",TRUE
"sunflowerPrecoceAsso_plt.xml","vitirazo","0.02","0.02",FALSE
